id,length,pack,state,size,condition,cat2,stacks,width,count,target
5580,30190,55466.0827,ST-20,20780,CO-B,CA-A,33174,15165.679,49803.82601,TA-3
5581,8726,49630.0961,ST-2,28975,CO-4,CA-19,48607,10106.869,4013.18725,TA-1
5582,27772,48320.1903,ST-24,4511,CO-B,CA-1,42552,3212.08,46069.48954,TA-2
5583,4146,26725.0689,ST-25,35085,CO-B,CA-18,19990,13336.067,10885.20409,TA-2
5584,38018,50646.1613,ST-1,49369,CO-1,CA-9,44375,10544.804,4569.41159,TA-4
5585,36571,58672.9842,ST-1D,29123,CO-A,CA-1,31808,14499.316,47114.92163,TA-4
5586,11667,50846.4459,ST-18,23622,CO-7,CA-D,49772,7349.234,38507.09201,TA-1
5587,23950,46226.4064,ST-29,33880,CO-6,CA-1,33129,4665.441,56060.31115,TA-4
5588,18820,51015.3119,ST-B,41420,CO-4,CA-8,34294,16928.67,40001.70535,TA-3
5589,30669,46933.5593,ST-29,36251,CO-D,CA-11,28420,24044.889,85607.64966,TA-4
5590,9231,58599.0035,ST-10,4996,CO-2,CA-E,45847,6381.065,65030.06234,TA-0
5591,19730,42273.6695,ST-25,28517,CO-5,CA-B,54054,8261.135,12864.15002,TA-3
5592,3754,39869.0651,ST-5,38537,CO-0,CA-1,52138,2345.916,33299.97691,TA-3
5593,12513,44999.8983,ST-28,14959,CO-3,CA-6,46032,26345.041,12178.57614,TA-1
5594,2835,60805.4198,ST-2,11964,CO-2,CA-3,41566,18401.771,65364.59401,TA-0
5595,28574,48811.0563,ST-1F,44890,CO-1,CA-12,37696,12728.434,40144.1167,TA-4
5596,31168,58305.7136,ST-15,46713,CO-5,CA-17,54627,16117.983,78553.92992,TA-4
5597,23193,58390.7439,ST-22,47404,CO-B,CA-19,27625,1426.798,86616.7313,TA-4
5598,28502,44080.4522,ST-24,24694,CO-A,CA-5,35036,12006.454,73063.90559,TA-4
5599,1771,26170.7635,ST-1A,42348,CO-A,CA-1,29356,21759.519,41490.23482,TA-3
5600,31466,NA,ST-12,36206,CO-1,CA-16,48968,11095.211,18088.69833,TA-3
5601,1645,53617.3101,ST-17,3230,CO-2,CA-5,37461,6083.252,5176.63701,TA-0
5602,31074,40831.8985,ST-17,23108,CO-2,CA-5,32451,901.709,33507.56085,TA-3
5603,35227,56707.1255,ST-16,17814,CO-4,CA-8,40880,7749.392,71955.13095,TA-2
5604,26242,47605.7303,ST-10,40804,CO-7,CA-5,30637,21415.642,59228.84997,TA-4
5605,35580,40445.3397,ST-25,46859,CO-8,CA-16,22860,8144.158,68292.2914,TA-4
5606,34599,48398.5706,ST-26,29196,CO-4,CA-1,35704,11748.237,59553.59888,TA-4
5607,24683,39447.2373,ST-26,32671,CO-6,CA-A,56719,11151.954,9619.51742,TA-4
5608,30556,51228.672,ST-18,22789,CO-6,CA-1,46312,6113.242,5718.72304,TA-3
5609,15592,36733.4605,ST-0,17882,CO-D,CA-15,44715,8432.07,34565.45162,TA-0
5610,25863,32608.5715,ST-14,28395,CO-1,CA-16,56997,2331.515,6646.46333,TA-2
5611,9948,53826.2859,ST-24,27252,CO-D,CA-6,52741,8232.125,62995.30305,TA-2
5612,16336,59588.0287,ST-1C,10760,CO-B,CA-5,37182,7123.395,62302.71143,TA-1
5613,20289,60268.9896,ST-2B,30835,CO-D,CA-9,41543,4962.834,42869.89362,TA-4
5614,8318,42088.5611,ST-C,20385,CO-8,CA-16,32556,21411.955,70598.93904,TA-0
5615,26124,28178.9447,ST-25,13950,CO-9,CA-F,46847,17928.164,18886.60097,TA-2
5616,15695,60233.7554,ST-17,19714,CO-3,CA-E,26407,20782.06,7953.02628,TA-1
5617,32592,70531.4538,ST-14,39279,CO-5,CA-16,33352,1917.602,86841.44304,TA-3
5618,21104,NA,ST-4,44908,CO-B,CA-6,50491,8242.44,29984.70421,TA-3
5619,11968,28304.5036,ST-25,37595,CO-7,CA-2,51337,15633.619,49583.14539,TA-4
5620,11570,53660.7678,ST-13,14416,CO-C,CA-F,48076,11807.37,4251.62455,TA-0
5621,24043,28305.6461,ST-0,49697,CO-D,CA-7,38869,22785.109,28801.44075,TA-3
5622,21581,73276.2385,ST-29,7004,CO-3,CA-8,42117,12737.337,5640.46497,TA-1
5623,26642,48909.9232,ST-23,3481,CO-D,CA-18,39579,1114.97,10914.86604,TA-1
5624,27810,58481.8093,ST-F,12764,CO-3,CA-15,33961,23248.787,17997.20036,TA-1
5625,31841,25983.9166,ST-14,23183,CO-5,CA-0,68618,22610.476,24576.87644,TA-3
5626,21459,49093.8852,ST-22,30021,CO-9,CA-12,49987,23413.78,16453.76685,TA-3
5627,17145,51232.8256,ST-29,39260,CO-B,CA-11,53687,2153.954,87341.1571,TA-4
5628,31102,47641.8404,ST-10,6521,CO-6,CA-12,48798,8808.445,22385.02211,TA-0
5629,19966,49744.2585,ST-6,12744,CO-8,CA-A,28231,21732.388,59731.35758,TA-0
5630,34649,42443.7435,ST-9,28897,CO-C,CA-9,33305,25794.353,84303.69711,TA-2
5631,17479,43405.8151,ST-20,36133,CO-D,CA-F,41629,27038.311,22811.31957,TA-3
5632,23608,48669.6801,ST-6,6228,CO-9,CA-F,54155,10933.594,19402.45112,TA-0
5633,16728,46996.283,ST-8,4110,CO-3,CA-17,51198,17562.831,51374.88701,TA-0
5634,27992,37555.3327,ST-15,20839,CO-C,CA-5,49294,22358.074,20611.60858,TA-2
5635,25105,62020.9714,ST-25,15869,CO-3,CA-6,41738,19514.598,26749.90579,TA-2
5636,1480,29649.7268,ST-19,25281,CO-0,CA-12,33221,12119.92,7162.78129,TA-1
5637,32866,56759.2141,ST-29,5009,CO-0,CA-C,48781,19654.551,33360.26928,TA-2
5638,14639,34690.4783,ST-24,6401,CO-3,CA-15,19692,5071.73,37135.1047,TA-0
5639,31014,43637.113,ST-C,47199,CO-5,CA-D,32905,17527.968,5716.41787,TA-4
5640,3220,57766.5868,ST-16,5915,CO-0,CA-6,35939,6818.668,55033.72685,TA-0
5641,16641,59733.0499,ST-17,12571,CO-1,CA-9,35427,18506.778,63937.42498,TA-1
5642,22902,60571.8404,ST-10,2302,CO-5,CA-11,36840,25524.272,87534.59226,TA-0
5643,16564,57431.5393,ST-23,43008,CO-A,CA-12,62211,13189.057,77873.75446,TA-4
5644,12007,38455.1472,ST-28,28592,CO-8,CA-E,31243,4824.553,79663.79384,TA-2
5645,33026,63278.9942,ST-4,2499,CO-9,CA-9,33134,25305.878,8395.64329,TA-0
5646,10187,43872.4939,ST-1E,28079,CO-1,CA-15,36308,4933.824,62712.43289,TA-2
5647,31832,51604.0576,ST-1,1611,CO-0,CA-0,30451,23191.613,46172.32836,TA-0
5648,9108,47248.9638,ST-28,35664,CO-2,CA-C,22690,2087.498,19735.71121,TA-3
5649,993,39732.0137,ST-5,14106,CO-A,CA-3,51763,15569.948,18897.32083,TA-0
5650,7368,NA,ST-1F,5317,CO-8,CA-4,44235,19500.519,87033.50704,TA-0
5651,2472,22220.0049,ST-B,12404,CO-A,CA-12,56980,15522.125,57216.70061,TA-0
5652,5058,50268.5849,ST-29,33582,CO-0,CA-10,34489,8420.785,77458.75811,TA-2
5653,38681,52860.6077,ST-1D,19381,CO-2,CA-8,45344,23268.736,88709.55053,TA-3
5654,16563,37087.6614,ST-28,14257,CO-6,CA-7,41274,947.795,15634.05979,TA-2
5655,23034,61600.1617,ST-27,27455,CO-0,CA-2,39320,13005.759,45902.1547,TA-4
5656,38554,31450.462,ST-4,1239,CO-4,CA-2,45637,3618.684,39987.39691,TA-0
5657,24816,33141.2144,ST-C,2979,CO-D,CA-14,56656,24244.401,20021.50625,TA-0
5658,38449,NA,ST-17,16096,CO-3,CA-14,45002,26636.331,56684.5362,TA-2
5659,29739,50263.7816,ST-28,42249,CO-4,CA-E,39886,6817.724,89366.93937,TA-4
5660,20435,53110.1486,ST-13,44963,CO-3,CA-15,44593,26740.671,55184.55111,TA-3
5661,32708,40153.4267,ST-3,6899,CO-9,CA-15,40470,18122.043,49496.55353,TA-0
5662,23579,57737.3496,ST-1D,25922,CO-1,CA-D,51670,4369.985,11459.7711,TA-3
5663,3821,51802.5296,ST-13,35696,CO-B,CA-E,52949,16663.633,16729.68699,TA-2
5664,987,56798.8935,ST-21,28825,CO-7,CA-D,31481,17666.239,55251.97425,TA-1
5665,4593,69486.7593,ST-1F,17427,CO-C,CA-18,51920,1894.603,23440.12063,TA-0
5666,14208,34724.6267,ST-E,17147,CO-D,CA-D,40382,2555.599,36966.16971,TA-1
5667,36912,61260.1762,ST-25,44401,CO-A,CA-14,41747,20300.267,29159.96147,TA-4
5668,3258,46352.5809,ST-F,21700,CO-4,CA-1,34539,14784.121,53854.78159,TA-1
5669,32724,41752.87,ST-17,35814,CO-C,CA-C,42504,19810.198,17384.99657,TA-4
5670,28734,58597.9095,ST-16,31833,CO-8,CA-16,50177,10827.91,53033.12123,TA-3
5671,20322,53134.4996,ST-7,44326,CO-8,CA-9,36529,11760.993,20852.0426,TA-3
5672,34065,42442.7238,ST-4,46437,CO-D,CA-6,31476,4459.618,40376.29184,TA-4
5673,1910,49588.0428,ST-0,11148,CO-9,CA-4,33528,11139.769,83977.9026,TA-0
5674,19338,46662.8834,ST-23,42127,CO-2,CA-16,37339,1398.75,15059.75919,TA-4
5675,17990,53804.0525,ST-13,7642,CO-8,CA-19,61702,21479.903,30900.5878,TA-0
5676,38788,46375.8636,ST-1C,19085,CO-1,CA-1,42558,3146.474,19250.19728,TA-3
5677,9344,66368.0325,ST-7,6751,CO-8,CA-14,23467,1711.254,69286.53388,TA-0
5678,9829,41391.4694,ST-6,5618,CO-9,CA-12,24493,21717.262,67007.52877,TA-0
5679,30252,38616.2722,ST-27,6496,CO-7,CA-A,42770,22160.904,29892.86153,TA-2
5680,17653,56188.4768,ST-C,5686,CO-6,CA-E,28822,8816.821,33968.12126,TA-0
5681,32983,37410.077,ST-15,37727,CO-4,CA-6,40181,7691.481,61335.4801,TA-4
5682,31856,49003.0737,ST-2A,41288,CO-8,CA-11,51155,11083.096,39493.34673,TA-4
5683,22784,46238.851,ST-3,8237,CO-B,CA-8,54481,16474.221,84454.39553,TA-0
5684,838,48035.3186,ST-15,7296,CO-B,CA-15,24138,23644.096,25650.99414,TA-0
5685,31526,47113.0754,ST-12,33399,CO-A,CA-10,22467,11416.536,23304.68339,TA-3
5686,20692,52078.2976,ST-6,24313,CO-9,CA-7,34534,10525.868,59169.90091,TA-1
5687,8241,45157.0233,ST-23,50422,CO-D,CA-5,33371,4380.478,65762.1276,TA-4
5688,21149,NA,ST-18,22804,CO-5,CA-6,43905,23077.273,82119.14654,TA-2
5689,18574,46361.0629,ST-A,15572,CO-C,CA-11,31624,6720.746,67923.41299,TA-0
5690,13947,34841.4464,ST-14,14580,CO-2,CA-11,39565,19412.384,76238.5319,TA-0
5691,10802,29048.8635,ST-1D,35525,CO-3,CA-15,29723,20669.774,79744.09072,TA-2
5692,6526,NA,ST-11,35803,CO-D,CA-18,45541,21837.992,10793.88107,TA-2
5693,31403,42793.0951,ST-8,41515,CO-8,CA-11,45435,11051.534,78612.0355,TA-3
5694,31048,67648.5954,ST-11,3863,CO-D,CA-9,38685,10349.804,31302.61395,TA-0
5695,1400,NA,ST-1,20683,CO-2,CA-14,36316,7411.327,15122.43323,TA-0
5696,29556,52979.865,ST-1B,10532,CO-1,CA-16,29678,7046.927,20904.87165,TA-1
5697,8912,28477.7557,ST-1E,22818,CO-6,CA-E,29381,1988.959,59301.39774,TA-1
5698,4209,40548.3663,ST-2,17688,CO-5,CA-9,47117,10323.631,68537.29338,TA-0
5699,13629,60891.4631,ST-1E,35113,CO-7,CA-2,42249,19774.692,47880.92724,TA-3
5700,2800,41897.0875,ST-13,32589,CO-2,CA-A,38746,9092.169,45838.91968,TA-2
5701,14946,58639.1262,ST-28,48165,CO-1,CA-7,33384,1387.83,43502.07994,TA-4
5702,24614,31407.9179,ST-19,39966,CO-7,CA-2,37144,11511.53,37800.06834,TA-4
5703,24323,43581.1417,ST-F,28587,CO-8,CA-D,44081,14344.262,86794.98282,TA-2
5704,1081,43590.9683,ST-19,23665,CO-9,CA-4,35925,24895.154,47627.93838,TA-1
5705,28547,71310.3528,ST-10,37152,CO-4,CA-8,37030,10842.652,89352.86944,TA-3
5706,11427,32185.7907,ST-12,33751,CO-7,CA-19,34455,14839.851,22718.49885,TA-2
5707,35399,54416.433,ST-2,20932,CO-4,CA-F,33435,23176.228,87121.49878,TA-1
5708,35169,63365.087,ST-5,12714,CO-C,CA-B,27401,6590.367,47713.39331,TA-0
5709,2371,50418.7989,ST-12,35580,CO-8,CA-19,44361,3235.502,30637.2807,TA-2
5710,22409,47456.196,ST-27,11047,CO-7,CA-12,41070,8285.887,18997.79143,TA-1
5711,7223,46392.3427,ST-C,3760,CO-C,CA-8,36467,7858.18,40439.47816,TA-0
5712,3469,41002.5457,ST-1D,27474,CO-A,CA-A,40154,22199.903,67788.56471,TA-1
5713,29857,46804.7116,ST-29,27203,CO-C,CA-15,39084,12285.222,22076.05183,TA-4
5714,1656,41004.2561,ST-10,43746,CO-2,CA-15,32911,17108.979,15686.2543,TA-2
5715,16963,42895.0752,ST-2A,37284,CO-D,CA-19,31518,963.28,10999.65057,TA-3
5716,1418,43485.1878,ST-13,20716,CO-6,CA-14,49235,9780.159,25415.3906,TA-0
5717,27662,46833.9926,ST-25,42940,CO-7,CA-15,31671,24646.295,41631.51669,TA-4
5718,6814,35750.2736,ST-0,40183,CO-1,CA-12,54915,3830.377,88447.12338,TA-2
5719,36750,NA,ST-16,37291,CO-5,CA-19,38856,23989.578,48531.42211,TA-4
5720,8910,65848.9407,ST-5,7493,CO-3,CA-9,24931,6902.212,50414.29344,TA-0
5721,4687,16771.2274,ST-3,24712,CO-4,CA-17,24950,3230.484,59272.179,TA-1
5722,26670,35332.8497,ST-26,9070,CO-3,CA-17,48268,12243.734,21072.3207,TA-1
5723,39198,38221.4705,ST-A,31344,CO-D,CA-13,48359,3079.424,25010.81618,TA-2
5724,3271,44556.679,ST-C,27650,CO-6,CA-1,41554,15628.313,87738.08072,TA-2
5725,7363,59919.8663,ST-26,49299,CO-0,CA-5,27078,16959.588,25580.77708,TA-4
5726,23685,42633.5487,ST-1A,23882,CO-7,CA-5,44342,12448.112,48269.40885,TA-3
5727,11976,44401.3144,ST-16,50887,CO-3,CA-13,39044,24517.698,45717.60476,TA-4
5728,24716,22234.7396,ST-B,37091,CO-D,CA-3,36975,4068.914,20528.22438,TA-3
5729,1542,NA,ST-8,34371,CO-D,CA-19,37863,14117.587,60182.38513,TA-1
5730,22103,63717.4304,ST-23,10147,CO-3,CA-16,24186,12213.711,67626.10152,TA-1
5731,35370,23991.4023,ST-1,50217,CO-0,CA-7,54163,8887.1,29069.37654,TA-4
5732,33649,52150.302,ST-9,18015,CO-2,CA-B,51053,9430.015,74044.38785,TA-1
5733,26646,34265.8512,ST-7,24957,CO-3,CA-6,34796,11445.11,67517.45671,TA-2
5734,7386,60610.2298,ST-13,27752,CO-B,CA-14,59831,13054.19,54652.22466,TA-1
5735,39215,30958.3355,ST-2A,9613,CO-5,CA-18,36958,24913.094,46236.34244,TA-3
5736,1588,31826.2908,ST-28,40007,CO-3,CA-3,38111,1411.287,16174.37791,TA-3
5737,22495,31321.3203,ST-23,1860,CO-1,CA-0,32864,1356.653,65026.64736,TA-1
5738,7845,46875.56,ST-20,49355,CO-D,CA-9,43886,18375.47,30110.09811,TA-4
5739,29811,54741.2419,ST-10,36505,CO-7,CA-17,44644,22643.013,10377.53312,TA-3
5740,22986,58029.2882,ST-2,32059,CO-6,CA-12,45511,21309.115,6407.22918,TA-1
5741,3324,54675.0166,ST-2,40139,CO-0,CA-15,28142,9412.248,67440.37375,TA-2
5742,11652,44247.689,ST-21,27696,CO-2,CA-3,50657,22907.027,38067.86095,TA-2
5743,33585,48524.5069,ST-26,46993,CO-B,CA-11,35452,16707.528,48699.10899,TA-4
5744,10206,56696.0873,ST-2B,44565,CO-6,CA-17,33727,22239.057,82643.44355,TA-3
5745,805,60200.958,ST-12,8450,CO-9,CA-15,38030,11599.408,7682.00916,TA-0
5746,36903,54125.8776,ST-10,14815,CO-9,CA-16,37618,24188.165,72507.63382,TA-1
5747,26251,40151.7886,ST-1,4095,CO-8,CA-11,51417,13067.292,27566.16873,TA-0
5748,2029,38727.6625,ST-20,38957,CO-0,CA-19,35423,14376.351,13787.38624,TA-2
5749,18876,NA,ST-18,51170,CO-C,CA-18,39646,6737.058,72346.44445,TA-4
5750,5358,29729.975,ST-E,27387,CO-C,CA-3,29292,4478.547,68314.99718,TA-2
5751,16976,42205.0764,ST-24,38428,CO-A,CA-6,34036,3539.845,65497.42281,TA-4
5752,5443,50629.0234,ST-20,24573,CO-2,CA-9,20923,26233.223,72505.73149,TA-1
5753,18408,57293.866,ST-1C,24473,CO-1,CA-17,38163,14586.704,41528.41821,TA-2
5754,20294,41184.3521,ST-0,49114,CO-D,CA-14,26922,21613.247,41553.75163,TA-3
5755,21818,35553.5715,ST-7,12298,CO-5,CA-B,45591,25625.036,71597.61974,TA-0
5756,10458,25738.4361,ST-25,26193,CO-3,CA-8,38884,23491.217,22587.40889,TA-2
5757,20188,39353.5122,ST-26,23116,CO-6,CA-2,29274,18330.203,82239.08679,TA-3
5758,23866,50122.6514,ST-10,5159,CO-1,CA-9,39059,1749.638,67277.8676,TA-0
5759,3341,53966.0607,ST-4,11244,CO-1,CA-7,55156,9973.402,40730.18269,TA-0
5760,3255,70466.3386,ST-11,43590,CO-4,CA-5,34563,22781.049,48831.72732,TA-3
5761,32105,53189.7902,ST-20,25897,CO-9,CA-13,57003,10310.499,42736.80051,TA-3
5762,21893,69420.353,ST-1F,43725,CO-6,CA-6,48436,7470.401,48734.07553,TA-4
5763,21970,35090.3329,ST-7,6522,CO-D,CA-6,52872,10784.229,17918.4536,TA-0
5764,28723,31669.1577,ST-16,25798,CO-B,CA-7,55137,17854.876,85337.74422,TA-3
5765,1116,48608.2531,ST-C,14603,CO-C,CA-1,52981,12664.045,3882.20776,TA-0
5766,3447,24337.4852,ST-28,35559,CO-7,CA-9,40223,1747.452,47873.1149,TA-2
5767,20373,33709.8032,ST-22,16425,CO-7,CA-B,48960,2554.414,28319.31971,TA-2
5768,17643,61601.9393,ST-23,20536,CO-7,CA-D,38412,12775.758,38357.19682,TA-2
5769,6832,40817.3378,ST-25,46093,CO-5,CA-13,40531,24077.54,6215.31094,TA-3
5770,10305,32968.7619,ST-10,45078,CO-9,CA-E,30429,27033.334,67918.17583,TA-3
5771,28915,35597.1272,ST-1E,10208,CO-2,CA-8,51814,9275.51,1128.47368,TA-2
5772,32781,63149.5166,ST-27,4534,CO-B,CA-5,44660,11770.965,53482.01932,TA-2
5773,21568,43982.4883,ST-1A,41443,CO-3,CA-13,40176,21159.316,29918.59456,TA-4
5774,16842,54989.3548,ST-28,34382,CO-9,CA-E,41249,838.95,52654.88702,TA-3
5775,29660,37338.3028,ST-6,33396,CO-C,CA-C,33976,15344.945,74420.76762,TA-2
5776,16496,54905.3694,ST-4,41624,CO-7,CA-11,44305,1232.517,4686.65295,TA-2
5777,29981,33428.5887,ST-25,44650,CO-4,CA-16,45313,22476.004,11546.33533,TA-4
5778,2584,30317.6221,ST-28,24184,CO-2,CA-2,41818,20776.011,41936.78142,TA-1
5779,37537,46766.3574,ST-14,50142,CO-8,CA-7,11473,7229.945,40041.28658,TA-4
5780,25205,51191.154,ST-A,48848,CO-A,CA-15,50156,19431.042,30745.30816,TA-3
5781,5643,57106.2414,ST-4,4166,CO-D,CA-7,22036,6340.617,7263.86826,TA-0
5782,23534,44508.4975,ST-0,15735,CO-C,CA-15,35588,19971.84,59271.36526,TA-0
5783,2204,62209.5777,ST-16,38119,CO-9,CA-12,60533,15671.275,38254.55632,TA-2
5784,2469,70567.5836,ST-6,51130,CO-C,CA-11,37488,3159.419,39277.37567,TA-3
5785,27518,30575.694,ST-D,38001,CO-C,CA-C,30884,7578.679,46670.5036,TA-3
5786,20047,28890.4014,ST-1C,4203,CO-A,CA-5,38349,19114.872,58023.08862,TA-1
5787,30093,19146.2004,ST-5,14921,CO-D,CA-C,29729,18727.844,78320.09377,TA-0
5788,23351,31476.794,ST-1D,29970,CO-B,CA-B,42516,11759.543,75195.31652,TA-3
5789,25483,34328.1387,ST-4,21835,CO-7,CA-F,38186,5482.226,62296.96933,TA-1
5790,6501,55063.6698,ST-E,37232,CO-D,CA-13,47752,24320.631,54027.79069,TA-2
5791,34405,68393.5683,ST-E,6012,CO-C,CA-1,41270,26695.666,43399.99354,TA-1
5792,6225,47701.0371,ST-2B,46705,CO-3,CA-C,38545,25393.389,86112.88223,TA-4
5793,34394,40081.8035,ST-10,47709,CO-4,CA-4,36037,18600.767,4386.20796,TA-4
5794,38247,41009.1752,ST-13,43002,CO-D,CA-4,44391,23062.76,27345.36011,TA-4
5795,29715,44267.4941,ST-10,46244,CO-A,CA-11,25350,15713.859,85704.52119,TA-4
5796,26966,43675.3091,ST-1E,18476,CO-A,CA-13,46444,1471.42,66664.37303,TA-2
5797,18601,29955.6843,ST-27,38408,CO-8,CA-7,36462,23567.572,18440.14929,TA-4
5798,13479,43303.9146,ST-25,22106,CO-D,CA-1,50803,14354.864,46679.89898,TA-2
5799,27452,31512.9009,ST-28,38672,CO-8,CA-6,50877,20181.312,78008.66951,TA-4
5800,34821,61643.9487,ST-20,35016,CO-C,CA-B,73418,18441.207,63193.43008,TA-4
5801,17819,57128.9884,ST-8,18790,CO-C,CA-17,47325,26689.758,34470.50508,TA-0
5802,2914,70720.8845,ST-1D,22224,CO-B,CA-F,47745,26440.727,18212.68315,TA-1
5803,28320,51784.7016,ST-F,47085,CO-0,CA-1,32094,14650.252,1024.68499,TA-4
5804,1398,34354.7537,ST-27,5054,CO-B,CA-17,36009,3522.31,75217.46632,TA-0
5805,17922,64903.9312,ST-28,6339,CO-3,CA-E,53396,14528.119,72600.01061,TA-1
5806,32433,42148.5416,ST-16,3692,CO-8,CA-6,32276,16822.437,56925.03644,TA-1
5807,8717,64466.2996,ST-24,25047,CO-8,CA-6,34224,5471.574,50626.10147,TA-2
5808,29237,44421.2498,ST-A,41301,CO-1,CA-E,37710,3239.297,8747.64364,TA-3
5809,36268,35219.2595,ST-1C,36225,CO-3,CA-12,42973,9198.726,43074.22635,TA-4
5810,18780,56004.4826,ST-15,19871,CO-5,CA-17,47978,23574.673,2555.2398,TA-1
5811,11276,61086.1029,ST-24,15698,CO-9,CA-9,43252,11461.044,21158.5612,TA-1
5812,14562,50861.6622,ST-25,40376,CO-3,CA-E,33526,26915.847,15420.42324,TA-4
5813,20260,52417.2878,ST-C,47721,CO-1,CA-B,37737,24335.456,10089.60834,TA-4
5814,24209,38595.947,ST-6,42747,CO-C,CA-E,40917,18601.046,15949.93228,TA-3
5815,2803,66192.978,ST-21,13952,CO-6,CA-15,38959,25131.466,29510.08671,TA-0
5816,8997,70289.6634,ST-20,29724,CO-1,CA-7,44561,11887.02,63092.74217,TA-2
5817,10530,53653.8657,ST-27,41430,CO-C,CA-5,28001,24978.084,79566.65516,TA-4
5818,14855,45878.2126,ST-14,4396,CO-2,CA-10,34237,26043.782,26218.1883,TA-0
5819,7369,46725.477,ST-12,35601,CO-C,CA-4,24939,3235.879,11786.01031,TA-3
5820,37234,41955.0327,ST-9,17386,CO-C,CA-D,38698,3012.495,16149.64257,TA-1
5821,4137,34488.2156,ST-20,48945,CO-6,CA-9,36878,4639.952,47911.33648,TA-4
5822,18440,34917.1121,ST-24,12706,CO-7,CA-A,39641,2912.058,40777.28344,TA-1
5823,12453,32101.3184,ST-1E,14809,CO-4,CA-5,46590,22401.92,67519.49671,TA-1
5824,20739,58370.4973,ST-20,22485,CO-7,CA-17,42677,6092.347,51474.50103,TA-2
5825,18047,44228.2453,ST-8,4559,CO-2,CA-12,53759,19886.381,86135.74631,TA-0
5826,31225,31721.2052,ST-24,31170,CO-C,CA-0,42629,11437.328,3030.20136,TA-4
5827,37293,67680.9283,ST-1A,38814,CO-3,CA-2,32870,21234.014,79396.55201,TA-4
5828,37781,43373.3949,ST-A,37038,CO-D,CA-17,55130,6473.124,70015.12513,TA-3
5829,16861,35056.9185,ST-26,11079,CO-1,CA-18,30088,9751.195,74670.16806,TA-1
5830,19441,62033.2692,ST-0,16289,CO-7,CA-15,38293,7351.465,29986.87151,TA-0
5831,27865,43102.6578,ST-24,23872,CO-B,CA-14,23851,8309.835,80455.89571,TA-3
5832,19321,58365.2649,ST-23,4884,CO-2,CA-17,31874,23612.326,36305.05638,TA-0
5833,10244,45965.2768,ST-17,25458,CO-5,CA-17,57734,27311.865,71906.0966,TA-1
5834,24412,34039.1145,ST-1C,25100,CO-0,CA-E,24483,26110.315,80233.94324,TA-2
5835,9246,61151.7225,ST-1,16665,CO-2,CA-6,38382,24404.115,54228.39176,TA-0
5836,35125,38568.1131,ST-0,46597,CO-9,CA-14,39412,2818.099,34578.31187,TA-3
5837,20878,NA,ST-1,15377,CO-D,CA-A,44138,3583.784,79320.14409,TA-0
5838,29944,77923.4852,ST-18,40072,CO-1,CA-7,38204,22472.466,77729.14721,TA-4
5839,30968,53007.1216,ST-28,35313,CO-8,CA-1,47449,14220.21,62938.41132,TA-4
5840,22667,NA,ST-23,21857,CO-1,CA-9,47602,25489.33,41903.1399,TA-3
5841,21011,45700.5551,ST-29,27124,CO-C,CA-F,44700,9945.156,55696.3037,TA-3
5842,9600,NA,ST-1A,17282,CO-0,CA-14,50554,27149.127,26802.74128,TA-1
5843,8920,39541.6247,ST-15,19925,CO-8,CA-2,40158,3750.814,68695.66555,TA-1
5844,13940,29216.7953,ST-17,49330,CO-7,CA-4,27603,22130.78,60205.62878,TA-4
5845,25579,50054.2477,ST-6,9632,CO-9,CA-A,31337,9703.289,59207.68749,TA-0
5846,7369,32768.7058,ST-21,13220,CO-D,CA-2,32910,19470.606,83668.84232,TA-1
5847,12288,32848.6332,ST-2,22224,CO-5,CA-18,39947,17161.349,23685.29559,TA-0
5848,13434,41941.3837,ST-F,44143,CO-A,CA-12,51685,17423.021,2006.95729,TA-3
5849,28218,43308.1072,ST-1A,45352,CO-C,CA-6,44428,18839.693,44261.38638,TA-4
5850,10652,41561.569,ST-17,46939,CO-0,CA-14,49198,18852.261,73822.51083,TA-3
5851,16614,40041.1718,ST-22,49998,CO-2,CA-14,42441,9620.185,39876.98458,TA-4
5852,30425,48130.2367,ST-F,26195,CO-4,CA-18,22895,1864.335,10434.93075,TA-2
5853,2556,NA,ST-14,50441,CO-1,CA-17,26697,6522.742,33036.4669,TA-3
5854,11513,52172.5009,ST-22,13741,CO-0,CA-18,42010,16386.3,27955.43561,TA-0
5855,18248,67064.1662,ST-0,31042,CO-6,CA-10,39016,14981.303,10056.38653,TA-1
5856,27990,44592.2542,ST-10,13695,CO-7,CA-2,30791,25435.793,70431.49154,TA-1
5857,7119,69424.3603,ST-1F,49106,CO-6,CA-4,29081,8566.23,9573.1334,TA-4
5858,28555,40615.1287,ST-E,5814,CO-4,CA-19,34744,12090.068,27072.05652,TA-0
5859,16700,53399.8721,ST-1C,1079,CO-2,CA-A,41761,10563.735,2874.7744,TA-0
5860,23166,53516.0707,ST-2,9561,CO-0,CA-F,52914,27155.987,63066.96279,TA-0
5861,1174,43942.974,ST-23,22750,CO-D,CA-15,33557,25977.402,8550.78317,TA-1
5862,1538,37708.1279,ST-B,4132,CO-1,CA-D,36778,4294.145,42128.71482,TA-0
5863,39074,35396.6088,ST-1F,40229,CO-D,CA-16,12735,22473.879,18999.33386,TA-4
5864,36812,48058.3423,ST-27,19084,CO-D,CA-17,53957,21773.713,28932.81932,TA-3
