id,convention,height,max,cat2,number,usage,region,length,code,power,item,weight,country,target
5568,CO-23,NA,20484,CA-F,19110,US-24,RE-A,15019.5947,CO-E,47992.95,IT-5,49509,CO-17,98650.90351454295
5569,CO-2,3890.57,35680,CA-6,17585,US-25,RE-12,15112.773,CO-A,73351.66,IT-9,13850,CO-6,171302.55576807045
5570,CO-B,1078.46,49189,CA-13,19993,US-1E,RE-8,11488.9037,CO-D,31642.98,IT-1A,35209,CO-19,60170.75361549145
5571,CO-9,3619.83,37561,CA-1F,18664,US-15,RE-F,16200.887,CO-5,35536.32,IT-11,4251,CO-13,56887.514210680456
5572,CO-7,2477.04,42924,CA-2,13535,US-23,RE-11,14236.6962,CO-A,40560.43,IT-2,2449,CO-1,77282.38454387164
5573,CO-0,2985.38,55998,CA-1F,19794,US-2,RE-18,13448.5735,CO-9,39306.47,IT-9,8398,CO-25,76123.7068663749
5574,CO-1,NA,51249,CA-C,22629,US-17,RE-D,8686.9927,CO-B,42406.11,IT-18,8859,CO-A,99075.46644270279
5575,CO-23,5183.04,32612,CA-B,23886,US-F,RE-15,13710.6944,CO-8,27114.59,IT-16,42830,CO-E,40870.51773256877
5576,CO-24,3607.77,64407,CA-3,20190,US-1,RE-8,15530.2688,CO-6,38814.54,IT-1A,33668,CO-7,69663.20611021192
5577,CO-9,4599.3,44919,CA-4,20546,US-12,RE-0,16472.6165,CO-10,41689.25,IT-8,28282,CO-D,75177.93559457254
5578,CO-10,6735.33,35863,CA-8,10582,US-B,RE-15,14468.8126,CO-F,34156.68,IT-13,623,CO-15,57764.331144750045
5579,CO-0,3474.53,37477,CA-1C,24638,US-26,RE-E,13178.9537,CO-1,53618.5,IT-16,38538,CO-1,119913.38327113035
5580,CO-0,3945.61,63868,CA-1F,14769,US-1A,RE-1C,16124.2221,CO-8,46632.42,IT-13,18329,CO-F,90239.27047155627
5581,CO-2C,6129.22,57601,CA-17,16777,US-6,RE-13,17165.9078,CO-10,47882.28,IT-1E,21756,CO-26,91056.77850271978
5582,CO-F,NA,53464,CA-25,15171,US-3,RE-A,11967.3716,CO-B,55992.09,IT-D,17676,CO-B,129641.14123080795
5583,CO-2E,3721.34,43693,CA-27,15539,US-14,RE-15,6967.2349,CO-7,37876.65,IT-13,16965,CO-10,90946.55476288823
5584,CO-1,6057.37,26183,CA-A,18221,US-4,RE-6,11043.9797,CO-1,40411.95,IT-D,32854,CO-F,87075.89198780361
5585,CO-9,2122.31,52426,CA-5,14613,US-27,RE-F,12432.2173,CO-4,39476.77,IT-1B,32846,CO-21,80382.0314384038
5586,CO-17,1924.86,60237,CA-1F,19984,US-10,RE-8,17138.388,CO-8,62061.85,IT-1C,7302,CO-F,132044.45602472516
5587,CO-D,1814.15,54448,CA-18,19872,US-6,RE-A,20685.5626,CO-8,47391.7,IT-7,9635,CO-20,78837.03989220681
5588,CO-26,NA,24560,CA-20,20658,US-18,RE-1D,15615.3056,CO-1,52821.43,IT-A,36018,CO-1F,110577.4757179631
5589,CO-1D,NA,59753,CA-21,9096,US-4,RE-8,19311.8013,CO-F,44708.92,IT-11,21852,CO-10,75589.555289842
5590,CO-13,512.74,63443,CA-D,18963,US-27,RE-3,10450.7171,CO-D,43140.23,IT-3,15682,CO-0,96279.63174156526
5591,CO-28,NA,71638,CA-A,16641,US-23,RE-D,18213.9845,CO-9,32780.39,IT-7,29067,CO-10,44125.39061074633
5592,CO-A,NA,45212,CA-17,12462,US-1A,RE-1D,13569.0843,CO-0,77653.44,IT-11,26635,CO-7,188841.04828126513
5593,CO-8,6012.85,48874,CA-20,19415,US-29,RE-A,15718.9789,CO-4,49104.89,IT-1A,19954,CO-9,98724.29318650729
5594,CO-10,164.94,45242,CA-23,25548,US-1F,RE-6,9033.7796,CO-2,33732.18,IT-2,51908,CO-1A,73656.82776980144
5595,CO-20,4770.71,35858,CA-8,16817,US-1D,RE-17,14415.865,CO-5,47710.75,IT-6,23660,CO-6,98529.23504093367
5596,CO-11,NA,41087,CA-5,18930,US-26,RE-E,11340.6925,CO-9,43600.37,IT-16,47655,CO-10,96022.53759350591
5597,CO-A,6556.66,38128,CA-5,8335,US-12,RE-19,11633.1447,CO-6,53349.88,IT-B,35865,CO-F,123419.68579135767
5598,CO-9,5823.71,46447,CA-22,21965,US-19,RE-1,13601.0819,CO-0,40747.8,IT-15,30774,CO-1E,80711.53931209056
5599,CO-16,4615.09,33290,CA-C,20225,US-16,RE-1D,17811.686,CO-2,41706.31,IT-1,13794,CO-9,70720.62064906576
5600,CO-16,NA,50944,CA-2,20007,US-1B,RE-19,13498.3617,CO-6,52239.76,IT-C,45087,CO-20,115202.17871050599
5601,CO-6,2965.99,44425,CA-3,17660,US-13,RE-1B,13699.1209,CO-5,52984.54,IT-18,50039,CO-13,116999.01024371138
5602,CO-1,4644.64,29373,CA-14,12694,US-F,RE-1D,12187.8658,CO-1,47524.63,IT-6,24217,CO-1B,104393.45253150463
5603,CO-2F,6704.44,56912,CA-1B,18564,US-9,RE-7,3595.5378,CO-4,41272.64,IT-B,53298,CO-9,110981.55988724263
5604,CO-26,2790.38,31659,CA-19,13993,US-11,RE-1C,NA,CO-5,57941.0,IT-E,3724,CO-11,131920.5372778743
5605,CO-15,3040.77,31840,CA-1C,12340,US-28,RE-7,16722.1716,CO-D,65740.2,IT-18,733,CO-1D,143750.5126538364
5606,CO-D,4056.96,47225,CA-10,17029,US-0,RE-6,12564.7971,CO-1,19734.08,IT-11,41318,CO-16,22413.38977799006
5607,CO-2D,6019.51,34455,CA-9,19541,US-17,RE-18,15170.158,CO-A,41668.19,IT-13,20318,CO-14,78518.45223152953
5608,CO-13,1797.94,47125,CA-11,25147,US-D,RE-6,13830.7852,CO-1,64524.72,IT-7,6301,CO-17,148859.70252553787
5609,CO-13,699.74,11152,CA-20,20867,US-F,RE-16,17745.8781,CO-4,50632.98,IT-8,43006,CO-1F,98443.63079233217
5610,CO-8,NA,32724,CA-F,18450,US-16,RE-13,5117.5703,CO-10,51686.44,IT-1B,24994,CO-21,136875.07569096566
5611,CO-25,4956.47,59896,CA-10,12894,US-E,RE-A,15249.2874,CO-0,51347.1,IT-1,13799,CO-15,106400.69924737411
5612,CO-1A,3124.85,53394,CA-0,13969,US-1A,RE-5,9318.9072,CO-0,43959.11,IT-18,9884,CO-19,101813.70533156842
5613,CO-26,5677.19,44692,CA-20,21957,US-8,RE-13,9710.5737,CO-B,33522.53,IT-2,42026,CO-2,70908.11197087799
5614,CO-14,3487.37,32953,CA-1F,8726,US-27,RE-18,12239.9181,CO-8,41175.74,IT-8,9607,CO-4,85159.25096030785
5615,CO-22,3382.25,62470,CA-9,13573,US-28,RE-D,17224.3061,CO-8,24542.02,IT-1C,45495,CO-1D,23546.913649269125
5616,CO-8,2910.51,47898,CA-24,18879,US-0,RE-1C,17314.7804,CO-10,44149.61,IT-3,28277,CO-2,79982.9481618792
5617,CO-17,4874.49,63895,CA-F,23390,US-22,RE-8,10372.5873,CO-6,43672.95,IT-F,30566,CO-E,98481.84698328888
5618,CO-2E,NA,59083,CA-11,18026,US-13,RE-11,9384.8629,CO-4,49808.79,IT-16,47842,CO-23,119710.62586182282
5619,CO-F,4564.71,63255,CA-24,18254,US-25,RE-13,13641.3724,CO-1,39283.54,IT-A,20365,CO-2,75928.29805179476
5620,CO-1,2164.69,29733,CA-19,23365,US-21,RE-6,15992.8953,CO-6,56208.26,IT-1,27290,CO-7,119065.96818164352
5621,CO-D,2488.63,58625,CA-12,19659,US-F,RE-2,16638.7259,CO-1,41546.88,IT-C,31497,CO-6,74425.59197401779
5622,CO-B,3835.29,58874,CA-1E,19263,US-1D,RE-C,11419.6221,CO-4,40482.2,IT-2,52179,CO-D,86795.13160290265
5623,CO-19,5099.15,38477,CA-7,15454,US-2B,RE-C,14748.9216,CO-F,45795.37,IT-14,24763,CO-1A,92002.06829588175
5624,CO-13,4284.26,59265,CA-5,17934,US-3,RE-10,13241.446,CO-E,28352.08,IT-7,40275,CO-24,45730.64122852295
5625,CO-24,1615.79,37027,CA-10,19972,US-1E,RE-1A,16869.3521,CO-B,37789.1,IT-4,46367,CO-19,63414.62234171823
5626,CO-F,372.65,44925,CA-C,26270,US-13,RE-18,13351.7422,CO-10,40526.62,IT-6,19868,CO-11,80380.72395230015
5627,CO-18,NA,44343,CA-5,18325,US-24,RE-2,12020.4595,CO-1,40237.08,IT-9,39292,CO-1F,83989.73587637633
5628,CO-11,4468.49,45501,CA-5,20997,US-2B,RE-1D,14699.4827,CO-2,50295.02,IT-A,4289,CO-3,104538.48991466907
5629,CO-15,5862.51,56855,CA-15,17548,US-26,RE-E,17293.5233,CO-D,48163.43,IT-1D,771,CO-1,90554.95534813912
5630,CO-0,529.47,45345,CA-A,27737,US-7,RE-B,11758.4141,CO-A,50229.55,IT-11,35998,CO-4,113913.82071055034
5631,CO-3,2444.69,48618,CA-27,19392,US-9,RE-F,11942.8958,CO-E,64897.81,IT-14,42280,CO-1,156592.7616127598
5632,CO-1B,2463.36,28267,CA-20,18878,US-1C,RE-6,11074.6675,CO-D,40972.12,IT-6,35025,CO-1A,88691.55222281022
5633,CO-2,3736.62,62660,CA-1D,23453,US-C,RE-17,12521.5848,CO-9,65436.76,IT-14,36825,CO-25,156361.68289661713
5634,CO-10,2937.23,38549,CA-26,18409,US-19,RE-1C,15107.069,CO-7,39819.15,IT-1B,20239,CO-23,73274.32587782433
5635,CO-3,NA,45843,CA-24,16621,US-1,RE-3,11227.0976,CO-3,55605.64,IT-15,693,CO-18,130138.01031442787
5636,CO-22,NA,34237,CA-1A,10955,US-1E,RE-9,14326.7184,CO-4,37757.08,IT-A,39783,CO-11,70217.3659330839
5637,CO-2A,4548.48,61912,CA-A,12999,US-0,RE-1,15092.6589,CO-4,24173.83,IT-1A,10330,CO-1D,27058.337203935844
5638,CO-29,5139.16,43991,CA-19,17816,US-E,RE-9,12239.7962,CO-5,38720.84,IT-19,14543,CO-22,78124.01400606643
5639,CO-25,3975.27,47696,CA-18,20899,US-2B,RE-D,15410.5205,CO-2,59027.98,IT-2,34951,CO-11,129310.8866778678
5640,CO-26,1953.93,54942,CA-26,14782,US-3,RE-13,8567.4888,CO-7,43831.99,IT-C,28316,CO-1E,104040.11967632054
5641,CO-1C,5242.66,46298,CA-5,20328,US-29,RE-1,16879.6854,CO-D,37720.34,IT-17,24177,CO-0,62197.650539845046
5642,CO-8,161.42,41542,CA-19,18587,US-25,RE-1C,12883.5982,CO-9,52649.27,IT-1A,19640,CO-B,117255.1932511658
5643,CO-17,637.87,47255,CA-0,20236,US-F,RE-10,11770.3816,CO-8,33481.74,IT-D,18390,CO-2,64237.273208617495
5644,CO-D,792.7,63774,CA-13,16071,US-13,RE-11,15208.6041,CO-9,67454.99,IT-16,54870,CO-12,155383.32158040034
5645,CO-24,408.51,44098,CA-1E,21262,US-A,RE-15,13844.4698,CO-9,40325.74,IT-1A,14768,CO-26,78186.98967500051
5646,CO-3,5828.67,47195,CA-8,18096,US-1E,RE-B,11043.1214,CO-F,25962.98,IT-3,46889,CO-1E,45131.355677450105
5647,CO-24,4616.56,52643,CA-3,13396,US-9,RE-10,11340.2418,CO-9,48299.56,IT-E,9187,CO-12,108645.16631354272
5648,CO-10,4153.19,43171,CA-24,20507,US-2A,RE-1B,17107.2951,CO-0,27077.0,IT-1B,7461,CO-9,29588.04701315024
5649,CO-C,NA,41282,CA-5,20192,US-1E,RE-C,NA,CO-3,29719.4,IT-1E,3318,CO-C,30700.496128656792
5650,CO-27,1505.41,56629,CA-14,17347,US-18,RE-15,16600.5239,CO-9,31111.27,IT-7,17513,CO-21,43327.870079981796
5651,CO-A,6780.72,52913,CA-1A,17928,US-2,RE-E,15870.3161,CO-9,52964.2,IT-12,41952,CO-1E,110525.0466556243
5652,CO-23,3279.09,53023,CA-18,22000,US-18,RE-1,13192.6421,CO-4,38918.18,IT-1A,32627,CO-25,76575.08119628878
5653,CO-0,6077.96,42630,CA-D,11079,US-1C,RE-1D,19678.4003,CO-8,43580.78,IT-14,43086,CO-19,72335.63179127309
5654,CO-2B,934.02,40017,CA-C,14250,US-7,RE-B,21764.8572,CO-9,56320.95,IT-9,45123,CO-22,103915.6317163942
5655,CO-22,6080.73,49922,CA-11,19516,US-D,RE-E,14090.6308,CO-0,30380.35,IT-5,22203,CO-19,48605.519406323416
5656,CO-15,4705.88,54191,CA-B,13212,US-27,RE-11,13386.968,CO-2,32016.41,IT-14,32367,CO-15,55781.849245039935
5657,CO-9,2235.72,48231,CA-16,11336,US-D,RE-11,14259.6572,CO-D,38968.33,IT-18,32989,CO-A,73698.68938962468
5658,CO-20,4119.5,43393,CA-15,21429,US-0,RE-10,14595.4443,CO-F,34327.78,IT-7,11412,CO-15,58309.593531384315
5659,CO-12,74.8,64312,CA-F,23267,US-1B,RE-2,13545.6509,CO-9,38740.85,IT-15,9155,CO-13,74199.2350898441
5660,CO-11,1679.17,53589,CA-18,19191,US-18,RE-0,9449.1967,CO-A,35136.95,IT-2,12829,CO-12,75645.10357607275
5661,CO-21,3949.04,40926,CA-1D,24336,US-B,RE-0,16153.8015,CO-9,56532.49,IT-C,17081,CO-10,119122.30772534995
5662,CO-27,NA,45501,CA-C,18876,US-17,RE-10,12470.6064,CO-E,39541.23,IT-11,24267,CO-25,80179.10935794438
5663,CO-0,1462.78,52423,CA-5,14056,US-E,RE-1D,12946.8061,CO-3,33251.29,IT-E,34828,CO-1,60735.205822751814
5664,CO-23,362.19,45451,CA-17,16359,US-D,RE-1C,15635.0132,CO-5,56757.62,IT-8,23332,CO-1C,121530.78140931221
5665,CO-2,4051.31,36254,CA-1,19864,US-1C,RE-D,15299.2039,CO-9,22661.12,IT-1,25243,CO-2,22626.700540159658
5666,CO-C,1117.12,59386,CA-1F,23246,US-20,RE-3,14411.4801,CO-A,68344.81,IT-0,42040,CO-12,159725.2910500566
5667,CO-8,156.63,60020,CA-0,16320,US-0,RE-3,18657.934,CO-7,53204.56,IT-13,2746,CO-17,101422.38683944268
5668,CO-1D,1915.55,21008,CA-C,12625,US-F,RE-11,15583.5416,CO-8,65326.34,IT-17,45504,CO-5,147715.44989748116
5669,CO-2B,3188.18,55354,CA-14,23277,US-6,RE-11,19604.62,CO-5,27487.95,IT-19,31620,CO-24,24772.119703061773
5670,CO-C,NA,55243,CA-22,11944,US-29,RE-16,12425.4714,CO-4,54772.65,IT-16,9760,CO-16,124479.66359167278
5671,CO-5,6071.9,29533,CA-1A,13022,US-2B,RE-A,11831.1483,CO-2,67125.44,IT-15,47842,CO-20,163614.69305069553
5672,CO-7,5751.48,50278,CA-24,12987,US-16,RE-E,13979.2664,CO-D,60886.34,IT-18,46993,CO-1F,139268.03371049743
5673,CO-1A,535.4,38705,CA-14,18026,US-E,RE-A,16825.1897,CO-F,68473.65,IT-A,45213,CO-25,153434.36618609936
5674,CO-25,NA,59401,CA-D,17871,US-25,RE-11,18527.397,CO-10,29738.77,IT-B,18385,CO-18,33791.053301971224
5675,CO-2,347.58,65996,CA-25,16121,US-21,RE-D,14529.9537,CO-2,26534.6,IT-6,22452,CO-4,36070.78386970398
5676,CO-17,6597.94,47397,CA-22,21834,US-1F,RE-1C,11363.0477,CO-2,54459.7,IT-10,53808,CO-7,127978.1108450635
5677,CO-11,2589.09,27222,CA-0,12300,US-26,RE-10,15934.6604,CO-9,34728.97,IT-C,29008,CO-B,56339.83390645019
5678,CO-B,3846.84,43992,CA-1B,15682,US-25,RE-C,13653.4999,CO-2,50279.51,IT-12,42828,CO-11,108937.62006541282
5679,CO-28,3314.97,62298,CA-13,24494,US-2A,RE-5,13926.8002,CO-E,33000.51,IT-14,27497,CO-3,56950.07833352195
5680,CO-16,2727.36,48872,CA-1E,23137,US-A,RE-6,15370.2971,CO-B,31766.69,IT-15,47426,CO-3,50015.510869001104
5681,CO-2D,5886.09,39871,CA-1E,29246,US-A,RE-12,13192.2723,CO-5,47372.42,IT-15,41953,CO-6,101686.25198209958
5682,CO-2F,1254.05,57095,CA-17,14385,US-5,RE-9,15440.4537,CO-6,46677.72,IT-14,9320,CO-11,91972.30921309683
5683,CO-13,5138.3,33868,CA-24,16588,US-5,RE-8,9418.0885,CO-F,30117.74,IT-1D,18480,CO-20,61165.67425115925
5684,CO-1,498.16,45135,CA-4,21399,US-27,RE-16,14480.9203,CO-D,32198.38,IT-10,33430,CO-10,53235.93928932032
5685,CO-19,3730.68,47198,CA-3,18857,US-1C,RE-16,11737.3239,CO-A,63279.98,IT-8,12441,CO-17,151505.4810061393
5686,CO-22,6550.92,35559,CA-20,21735,US-8,RE-13,7510.8768,CO-E,24207.19,IT-3,23542,CO-22,49438.137212991714
5687,CO-19,NA,52129,CA-5,32260,US-2,RE-11,6974.4466,CO-8,46944.84,IT-1A,7519,CO-20,117335.17478765931
5688,CO-E,3997.94,49155,CA-1,10354,US-26,RE-9,12633.5262,CO-3,45536.55,IT-15,28387,CO-9,97426.36047170562
5689,CO-12,3063.31,47127,CA-22,13746,US-C,RE-10,18102.9817,CO-B,50822.63,IT-1B,12101,CO-16,96519.15732362401
5690,CO-15,1993.64,44962,CA-27,13173,US-27,RE-1A,7437.674,CO-B,35044.36,IT-3,14752,CO-13,81240.47875532058
5691,CO-22,4442.25,58037,CA-13,14019,US-C,RE-11,13454.364,CO-E,37686.68,IT-2,9917,CO-21,71413.72708239041
5692,CO-27,1136.89,46843,CA-10,11444,US-2B,RE-F,15505.3801,CO-6,45182.78,IT-15,32351,CO-4,88344.71625225508
5693,CO-24,2231.84,47644,CA-27,16429,US-9,RE-7,10250.9508,CO-2,40675.44,IT-11,48637,CO-1B,90528.76538904474
5694,CO-10,6143.96,43226,CA-24,24339,US-1B,RE-11,17969.5212,CO-8,60472.33,IT-B,34966,CO-12,126281.73531709841
5695,CO-25,NA,53415,CA-26,19313,US-19,RE-3,17718.2879,CO-6,36332.39,IT-10,54288,CO-5,57127.26123012008
5696,CO-19,NA,52595,CA-20,13035,US-E,RE-0,9333.8067,CO-A,51176.88,IT-B,25968,CO-F,123326.90438071833
5697,CO-D,2477.52,62317,CA-4,20163,US-8,RE-9,15499.8047,CO-8,36183.71,IT-17,51907,CO-22,62783.65627076625
5698,CO-29,560.53,35014,CA-D,27001,US-5,RE-1A,14878.6886,CO-C,52968.5,IT-D,7358,CO-15,111966.82157565343
5699,CO-29,5168.07,53688,CA-17,11444,US-2A,RE-16,13541.9953,CO-B,41929.27,IT-E,30423,CO-1C,84330.44691943684
5700,CO-1E,5750.84,43844,CA-25,20704,US-25,RE-10,7104.1618,CO-A,51572.31,IT-17,30518,CO-B,130955.25386008823
5701,CO-6,NA,50634,CA-11,15793,US-10,RE-0,14722.6929,CO-2,59073.01,IT-2,15464,CO-1D,130634.08749501992
5702,CO-2E,703.35,44634,CA-15,10525,US-25,RE-D,12095.8272,CO-C,42133.58,IT-B,30517,CO-3,89049.49068783809
5703,CO-2A,3952.54,46017,CA-1C,13395,US-17,RE-5,17269.4203,CO-2,34714.66,IT-2,21853,CO-21,52162.136819037194
5704,CO-2A,3077.04,49207,CA-3,15100,US-22,RE-F,16898.2698,CO-F,41513.78,IT-11,41179,CO-14,74022.35782381454
5705,CO-1E,NA,64851,CA-E,20959,US-3,RE-1A,12347.4696,CO-10,29208.88,IT-1C,20078,CO-B,50107.31825343523
5706,CO-18,3883.15,38927,CA-D,20584,US-19,RE-1D,10449.7521,CO-A,52387.4,IT-12,53224,CO-3,124432.94771867791
5707,CO-14,233.74,53849,CA-24,22427,US-21,RE-B,11340.577,CO-6,41283.94,IT-B,48537,CO-26,89248.66163373047
5708,CO-17,6518.34,64584,CA-22,11440,US-22,RE-0,9728.3092,CO-2,46196.99,IT-14,52129,CO-12,108272.84639316567
5709,CO-14,666.65,28376,CA-10,24174,US-18,RE-0,11738.1232,CO-3,31509.96,IT-14,16957,CO-1D,58505.766016091424
5710,CO-1A,6385.54,63977,CA-26,13978,US-16,RE-7,11384.9465,CO-5,63507.08,IT-1E,32920,CO-24,153810.4074142787
5711,CO-16,3862.11,48670,CA-4,28733,US-1B,RE-16,19206.6358,CO-9,45332.44,IT-1C,39309,CO-1C,78606.69409589937
5712,CO-1E,2675.2,42994,CA-13,19420,US-16,RE-9,12193.3935,CO-9,40537.71,IT-6,13147,CO-2,83537.38199654433
5713,CO-B,5766.54,48918,CA-7,17260,US-E,RE-13,12165.0307,CO-9,36751.94,IT-3,47310,CO-B,73622.39432811463
5714,CO-A,NA,43620,CA-B,18505,US-24,RE-0,17506.3013,CO-1,58089.52,IT-D,33343,CO-3,120536.55739217265
5715,CO-1B,6625.25,56282,CA-A,23726,US-1D,RE-9,16535.5636,CO-F,33225.79,IT-14,23731,CO-5,49990.087586775546
5716,CO-1E,3187.06,46536,CA-16,18568,US-6,RE-19,10911.6604,CO-0,41055.83,IT-8,38497,CO-1F,89500.60119238244
5717,CO-1D,NA,63355,CA-E,12108,US-1A,RE-3,17962.7343,CO-E,40621.13,IT-18,2376,CO-0,66554.243152518
5718,CO-16,4298.85,42394,CA-21,14531,US-1A,RE-1B,18518.3149,CO-A,20299.16,IT-19,20157,CO-12,6232.073064010827
5719,CO-29,4268.73,55703,CA-B,17948,US-17,RE-3,19060.0547,CO-8,35063.87,IT-0,49234,CO-20,49419.58196942021
5720,CO-1B,1306.65,59694,CA-25,17552,US-2,RE-12,15415.1805,CO-2,17998.71,IT-1A,48421,CO-13,9567.7021720728
5721,CO-11,4250.24,39627,CA-4,18458,US-26,RE-3,14118.0919,CO-C,51982.66,IT-15,34622,CO-1F,112315.0969736117
5722,CO-28,6122.01,56614,CA-1B,20530,US-22,RE-15,20291.0144,CO-C,34877.14,IT-2,50331,CO-10,45483.771513472784
5723,CO-F,1220.11,61614,CA-4,24038,US-B,RE-17,13388.6632,CO-7,48131.51,IT-2,9391,CO-6,102200.64592229876
5724,CO-C,306.83,44412,CA-17,16229,US-1D,RE-6,12750.5815,CO-0,31462.74,IT-18,22305,CO-C,55622.631040698034
5725,CO-A,2347.96,61638,CA-0,13912,US-C,RE-19,14484.9972,CO-3,37792.59,IT-5,11063,CO-2,68771.91453156892
5726,CO-0,3693.74,53095,CA-A,17655,US-15,RE-1C,16430.6607,CO-E,79105.73,IT-E,31274,CO-1D,185111.71958314563
5727,CO-15,4906.48,49515,CA-16,13967,US-1F,RE-1A,7863.7098,CO-B,44898.22,IT-1,50351,CO-11,109636.85965833649
5728,CO-2,1447.06,38671,CA-12,15056,US-14,RE-A,13306.0217,CO-0,48065.63,IT-E,48890,CO-20,103637.26288734455
5729,CO-13,254.83,47038,CA-1B,18092,US-13,RE-10,14670.7233,CO-F,51228.43,IT-16,38227,CO-13,108665.99342774958
5730,CO-2D,NA,64634,CA-9,27953,US-23,RE-8,10442.5114,CO-A,26933.17,IT-D,38093,CO-9,49418.44571418284
5731,CO-2D,1464.36,48159,CA-8,17741,US-8,RE-4,14365.101,CO-2,49359.52,IT-3,53945,CO-9,104654.39116457346
5732,CO-2D,NA,42559,CA-1,23768,US-12,RE-1,9454.4711,CO-5,33836.38,IT-A,19697,CO-24,71991.12010306939
5733,CO-6,4556.33,51071,CA-0,25267,US-1C,RE-5,13438.2392,CO-7,32643.96,IT-2,26150,CO-12,57254.67326545643
5734,CO-2C,5035.11,47199,CA-1F,15934,US-19,RE-1B,NA,CO-3,38535.97,IT-2,19170,CO-8,81847.02877240191
5735,CO-12,243.72,31613,CA-2,19872,US-4,RE-1A,14852.5551,CO-10,48544.64,IT-4,42580,CO-18,100454.66296507728
5736,CO-19,5236.32,47503,CA-E,17151,US-3,RE-14,12498.4325,CO-9,41774.1,IT-1C,39209,CO-3,87141.07771148033
5737,CO-13,5132.41,39469,CA-1,13411,US-17,RE-14,6133.6963,CO-6,57762.33,IT-1D,17101,CO-11,151649.77187455533
5738,CO-28,3299.56,41517,CA-16,17808,US-10,RE-16,13696.7366,CO-A,51517.91,IT-4,1095,CO-8,110934.94368909164
5739,CO-22,3446.06,33852,CA-23,16755,US-19,RE-6,16256.1012,CO-1,60347.84,IT-16,25114,CO-25,130356.26920380071
5740,CO-25,3826.74,23407,CA-19,15263,US-1B,RE-10,NA,CO-8,30471.67,IT-2,37361,CO-24,54106.382046620376
5741,CO-9,4230.14,57016,CA-4,17560,US-9,RE-1B,8450.4872,CO-4,43529.5,IT-10,39378,CO-4,103736.98324553465
5742,CO-2B,3174.34,49497,CA-10,18029,US-10,RE-A,9063.0202,CO-3,50715.13,IT-3,24449,CO-26,122711.011079457
5743,CO-11,635.94,56373,CA-20,21704,US-20,RE-A,9474.0799,CO-6,34872.74,IT-C,22917,CO-1D,75048.16140496374
5744,CO-1A,NA,42454,CA-12,17500,US-A,RE-C,9555.0678,CO-A,49661.93,IT-1E,33341,CO-26,118438.0853301013
5745,CO-2C,6099.77,54061,CA-20,18323,US-28,RE-8,11747.7968,CO-F,48420.34,IT-18,53615,CO-E,109194.62166213302
5746,CO-16,3484.47,47012,CA-27,15629,US-18,RE-A,13005.6673,CO-B,47946.87,IT-1C,30214,CO-26,103491.49131315362
5747,CO-4,6422.65,51174,CA-A,23239,US-14,RE-3,15293.9342,CO-3,31016.23,IT-15,10178,CO-10,46526.87005702812
5748,CO-F,NA,40614,CA-6,14186,US-6,RE-3,13218.9485,CO-4,59762.79,IT-1B,15883,CO-3,137022.17298775358
5749,CO-12,4297.16,35331,CA-22,13834,US-0,RE-D,15703.5705,CO-8,32059.65,IT-1E,15547,CO-22,48617.416715379935
5750,CO-3,2231.19,41158,CA-1B,17554,US-29,RE-14,11526.4405,CO-D,18872.73,IT-4,34603,CO-1,22612.53884695058
5751,CO-0,6093.7,52752,CA-1E,23995,US-E,RE-1B,17645.8428,CO-7,25584.86,IT-5,52838,CO-13,25763.130276185002
5752,CO-A,1866.96,32224,CA-0,23257,US-9,RE-4,15576.3337,CO-5,49333.2,IT-13,39918,CO-6,100622.5396205706
5753,CO-A,NA,36179,CA-16,16776,US-1B,RE-6,14993.0722,CO-7,35386.96,IT-9,7410,CO-1F,60102.931181618966
5754,CO-2,3203.3,67243,CA-11,22457,US-1A,RE-1,14732.2811,CO-6,32267.8,IT-1,41002,CO-1E,53025.19800996455
5755,CO-D,NA,60972,CA-21,25341,US-E,RE-D,14582.6289,CO-F,40779.22,IT-4,45588,CO-1C,78577.5483427808
5756,CO-2B,2760.67,50530,CA-F,14120,US-1,RE-1,14698.3519,CO-3,42568.86,IT-9,3456,CO-21,81859.11195018032
5757,CO-14,NA,52544,CA-14,21169,US-1A,RE-1C,13083.8121,CO-5,52576.4,IT-1C,50095,CO-2,117526.0851323616
5758,CO-2A,2194.85,58133,CA-10,21930,US-8,RE-B,10839.5,CO-D,38075.76,IT-18,23533,CO-2,80539.06128603844
5759,CO-2,NA,56008,CA-10,22032,US-1A,RE-17,13494.0486,CO-1,39107.71,IT-13,4602,CO-25,75268.42413139644
5760,CO-7,3536.27,44044,CA-B,23675,US-1,RE-14,11659.1662,CO-3,47473.61,IT-1A,9330,CO-20,105300.37061636004
5761,CO-2B,713.36,30539,CA-12,19750,US-29,RE-6,10445.7487,CO-1,47723.76,IT-13,7317,CO-D,109500.45524947786
5762,CO-21,4898.24,58047,CA-23,17453,US-1F,RE-11,14527.7236,CO-C,37181.52,IT-7,24546,CO-1B,67376.47273024621
5763,CO-1A,4796.39,44377,CA-1D,14922,US-7,RE-1D,14296.083,CO-1,53955.96,IT-1A,38097,CO-1A,117725.9045537219
5764,CO-1A,329.13,57111,CA-20,24391,US-24,RE-2,15626.1679,CO-8,36122.62,IT-9,17519,CO-18,60825.276545296794
5765,CO-7,3390.84,38343,CA-1,21051,US-1E,RE-3,12455.7787,CO-8,66584.93,IT-17,41370,CO-1E,160063.31768383356
